"Hood_ID","assault","auto.theft","break.and.enter","robbery","theft.over","drug.arrests","total.crime","population.2016","total.area","density","lone.parent.families.perc","avg.income","people.ei.per","median.income","low.income.pop.perc","low.income.pop.perc.18.to.64","non.citizens.perc","immigrants.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","unsuitable.housing.perc","hhlds.mjr.rprs.perc","unaffordable.housing.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","unemployment.rate.males","youth.perc","male.youth.perc","low.income.perc","middle.income.perc","high.income.perc"
"1",0.00687439961575408,0.00831532180595581,0.00375240153698367,0.00192122958693564,0.0010806916426513,0.000870557156580211,0.0228146013448607,33312,30.09,1107.07876370887,19.6439169139466,30414,6.89215060625399,20901.8984375,21.3,19.2,18.2890855457227,69.3548387096774,7.50953867499133,10.115755847903,91.4657415437988,18.859649122807,73.1212287438289,14.4109589041096,4.00438837081733,34.6322722283205,26.2,29.84,43.94,9.8,9,16.3454610951009,8.79562920268972,52.4735830931796,15.3548270893372,3.09197886647454
"2",0.00667597256782181,0.00124415852400316,0.00103174121502701,0.00267038902712873,6.0690659707471e-05,0.000728287916489652,0.0124112399101778,32954,4.6,7163.91304347826,18.8698284561049,40442,4.22435214767483,26198.7570093458,21.9,19.9,17.3167848699764,66.6962174940898,6.64893617021277,4.22227471359395,75.5838013597399,23.5524256651017,66.9008587041374,6.41125879593432,6.09375,35.340109460516,12.597095575819,22.9652144545762,64.4714623438028,8.3,8.1,15.9009528433574,8.11737573587425,27.0225162347515,11.1063907264672,4.47593615342599
"3",0.00434362934362934,0.00135135135135135,0.00231660231660232,0.00164092664092664,0.000193050193050193,0.000675675675675676,0.0105212355212355,10360,3.4,3047.05882352941,29.8821548821549,36674,6.85952878019684,26404.398255814,24.9,22.9,15.3776160145587,51.9790718835305,8.32575068243858,13.5454545454545,59.7361237488626,47.9768786127168,66.7095115681234,20.616570327553,8.54755784061697,35.112540192926,23.5128277417536,31.040315759797,45.5314350155061,9.9,8.8,13.4169884169884,6.9980694980695,108.156370656371,43.2432432432432,10.03861003861
"4",0.00579352265172381,0.0021844429670434,0.0015196124988128,0.0012346851552854,9.49757811758002e-05,0.0010447335929338,0.011871972646975,10529,2.5,4211.6,22.8980322003578,37108,7.21455457967378,28115.6267123288,15.2,14.6,17.3340091231627,53.1947261663286,9.63488843813387,4.25279398674711,43.5884439939179,43.8818565400844,96.3483146067416,19.1279887482419,7.17299578059072,28.2700421940928,28.6140979689367,28.4348864994026,42.8912783751493,8.1,8.6,12.9167062399088,6.64830468230601,50.2421882419983,20.419792952797,4.65381327761421
"5",0.00634517766497462,0.00148054145516074,0.00126903553299492,0.00190355329949239,0,0.000951776649746193,0.0119500846023689,9456,2.9,3260.68965517241,16.4319248826291,45212,2.94784580498866,23950.4245901639,27.4,27.5,24.9114901834567,64.0167364016736,11.9407788863856,4.65925327700814,72.2150676110753,35.2700490998363,61.4566284779051,11.1201962387572,4.00654129190515,48.5172981878089,10.6451612903226,21.5412186379928,67.8136200716846,8.8,8,15.1755499153976,8.03722504230118,91.3705583756345,33.2064297800338,14.9640439932318
"6",0.00513636363636364,0.00172727272727273,0.00159090909090909,0.00104545454545455,0.000227272727272727,0.000545454545454545,0.0102727272727273,22000,5.1,4313.72549019608,21.8954248366013,39003,8.12720848056537,31792.75,11.4,10.7,8.21661998132586,46.031746031746,3.40802987861811,7.69445998880806,43.6100746268657,17.3854447439353,85.3297442799462,9.97304582210243,4.5822102425876,31.4439946018893,24.6239554317549,29.3593314763231,46.016713091922,6,6.4,13.7045454545455,6.97727272727273,23.0227272727273,12.7727272727273,2.86363636363636
"7",0.00428777757718,0.00221159053980863,0.00162484202924716,0.00162484202924716,0.000225672504062105,0.000270807004874526,0.0102455316844196,22156,5.5,4028.36363636364,41.970802919708,31800,7.45257452574526,24060.9657039711,31.7,27.4,11.2762685802153,52.3321373654536,5.22808815991799,10.0090534151494,59.5592004100461,62.1399176954732,97.9452054794521,20.4109589041096,8.76712328767123,33.0589849108368,32.6086956521739,30.9462915601023,36.4450127877238,9.1,10.1,11.8478064632605,6.25112836252031,24.1695251850515,7.5148943852681,1.42173677559126
"8",0.0031055900621118,0.00173547679941542,0.00237486298867373,0.00109609061015711,0.000365363536719035,0.000274022652539277,0.00895140664961637,10948,2.8,3910,17.2106824925816,28875,5.48583721764073,20075.0997854077,45.5,40.4,26.9913627639156,63.6909047276218,18.6225101991841,12.4123555050218,79.1316862556968,88.9122807017544,84.0813464235624,42.2050561797753,12.4210526315789,50.1756851721715,20.9576910462447,26.3365037717284,52.7058051820269,12.6,12.8,10.3671903544026,5.38911216660577,97.0496894409938,24.7990500548045,5.34344172451589
"9",0.00128741551335694,0.00135178628902478,0.00296105568072095,0.00019311232700354,6.43707756678468e-05,0.00019311232700354,0.0060508529127776,15535,5.5,2824.54545454545,16.9996367598983,45326,3.88501323069521,27681.5556242274,30.3,30.6,30.0537206526064,61.7588539594111,14.733386390768,2.78581909029623,75.047258979206,38.1475667189953,26.7593007619901,14.0134529147982,2.89237668161435,50.2594180013535,7.01556508008121,19.3548387096774,73.6521542973156,8.5,7.6,11.6511103958803,5.92211136144191,159.80045059543,71.3871902156421,36.1120051496621
"10",0.00126685367840014,0.00162881187222876,0.00253370735680029,0.00171930142068591,0.00027146864537146,0.000361958193828613,0.00778210116731518,11051,5.2,2125.19230769231,20.5572289156627,31825,6.0144553433144,22237.3453038674,22.6,22.2,19.0283400809717,64.3024494142705,7.39084132055378,8.03973565685903,85.8755858542821,27.6582667486171,59.0546347452425,11.9311193111931,5.65457897971727,38.4947563232572,19.7794117647059,29.8529411764706,50.4166666666667,9.8,8.8,14.3425934304588,7.37489819925799,124.649352999729,40.8560311284047,9.0941996199439
"11",0.00279750376587045,0.00145255003227889,0.00156014633096621,0.000753174090811276,0.00021519259737465,0.000376587045405638,0.00715515386270712,18588,8.6,2161.39534883721,20.840197693575,54360,6.20905724864711,36304.3548387097,14.5,14.8,6.15774907749077,28.0313508529276,2.23605348086676,2.96083621192409,26.4577091495736,33.2065217391304,95.4891304347826,6.19565217391304,8.96252036936447,29.5652173913043,15.9629528738763,28.5753200762735,55.4072459820212,8.8,8.9,12.9653539918227,6.85926404131698,50.704755756402,29.5082849149989,14.4179040241016
"12",0.00180026530225507,0.00113700966458215,0.00142126208072769,0.000758006443054766,0.000189501610763691,0.000189501610763691,0.00549554671214705,10554,2.9,3639.31034482759,12.701100762066,53583,3.87733521325344,38306.7127659574,26,26.2,18.4262619597493,36.077202243484,6.49950511382382,3.31844288449266,41.0493317934334,70.4164550533266,49.504699009398,8.71664548919949,5.38481076962154,45.3340132585416,4.19316033682763,18.937961849115,76.8345076473621,8.5,7.9,11.085844229676,5.5902975175289,138.715179079022,88.4025014212621,42.0219821868486
"13",0.0037137069547603,0.0012660364618501,0.0012660364618501,0.000337609723160027,0,0,0.00658338960162053,11848,1.7,6969.41176470588,16.8654173764906,40588,6.78799803246434,30384.5769230769,18,17.3,13.065755764304,37.532023911187,4.09906063193851,3.98812049215104,30.999146029035,59.4669117647059,89.0625,9.75160993560258,9.20810313075506,39.8710865561694,20.6136145733461,20.3739213806328,58.9645254074784,7.5,7.8,12.322754895341,6.2035786630655,52.7515192437542,25.362930452397,7.34301147873059
"14",0.00420789264187422,0.00261571704765154,0.00222904583191175,0.000682360968952576,0.000750597065847833,0.000682360968952576,0.0111679745251905,43965,16.4,2680.79268292683,40.5093996361431,27984,7.71746239372139,22810.0234192037,25.7,21.8,14.567124648237,58.8780407082575,6.20552705609796,12.2331179692368,76.646805693479,48.5368314833501,88.0484114977307,23.0846774193548,10.7413010590015,33.1483350151362,39.1402251791198,29.4370522006141,31.3408393039918,11.5,10.2,10.7813033094507,5.37927897190947,39.9977254634368,11.1793472080064,0.909814625270101
"15",0.00312803365332758,0.000755042605975623,0.00280444396505231,0.00107863229425089,0.000215726458850178,0.00107863229425089,0.00906051127170747,9271,2.6,3565.76923076923,18.5964912280702,53203,5.93008739076155,41804.5532544379,7.7,8,5.18134715025907,32.4352331606218,1.50259067357513,2.16799435313099,29.740932642487,22.6817042606516,78.1954887218045,3.7593984962406,3.62953692115144,24.0601503759398,12.910938433951,26.5989240884638,60.4901374775852,7.9,7.4,11.7570920073347,5.77068277424226,41.5812749433718,31.0106784597131,13.8604249811239
"16",0.0024749510997565,0.000638697058001677,0.00207576543850545,0.000359267095125943,0.000199592830625524,0.000439104227376153,0.00618737774939124,25051,7.9,3171.01265822785,18.6074429771909,36359,5.07511165245635,24885.5048859935,29.6,29.3,36.1668258516396,60.6108813235762,18.6764237989182,8.96775424537302,76.5510658606427,63.0999213217939,49.1751767478397,22.7987421383648,6.12725844461901,48.6593059936909,9.15972747918244,20.9311127933384,69.8713096139288,10.3,9.2,9.91976368208854,5.10957646401341,32.4138756935851,13.1132489720969,3.57271166819688
"17",0.00609468849369921,0.000942174066658815,0.00138381816040513,0.000264986456247792,0.00044164409374632,0.000706630549994111,0.00983394182075138,33964,6.9,4922.31884057971,15.4585152838428,57465,6.27397260273973,40786.0849056604,16.5,16.6,12.1531758770924,35.1673544245759,5.6854653828519,4.85064524862377,23.7680495072198,66.1978221415608,86.3945578231292,9.20634920634921,7.21415607985481,36.7560199909132,8.0917237743806,17.1323141802847,74.9077490774908,7.1,8.3,8.84760334471794,4.2839477093393,26.5428100341538,17.5038275821458,9.77505594158521
"18",0.00689173863735497,0.000872371979412021,0.00366396231353049,0.00113408357323563,0.000436185989706011,0.00139579516705923,0.0143941376602984,11463,3.5,3275.14285714286,15.3662420382166,71204,5.52083333333333,47273.4158878505,11.1,10.8,6.38115631691649,28.1216534589848,2.1632041122296,3.15569487983281,19.1179618925284,43.632183908046,67.7241379310345,4.73563218390805,6.66666666666667,30.0599354541263,7.94852384557154,17.0830179157204,74.9179914206409,6,5.6,12.1259705138271,6.36831544970776,73.4537206664922,55.5700950885458,38.2535112972171
"19",0.00485918286394288,0.00119000396667989,0.00257834192780643,0.00049583498611662,0,0.000396667988893296,0.00952003173343911,10084,2.3,4384.34782608696,14.6723646723647,40972,5.67580567580568,30072.1081730769,10.5,11.1,8.42358604091456,56.2550120288693,2.60625501202887,7.52361133344005,74.5286803048536,11.0960757780785,98.7854251012146,7.56756756756757,4.05405405405405,24.3572395128552,14.8673376029277,29.2772186642269,55.8554437328454,8.5,8.9,11.156287187624,5.65251884172947,61.9297897659659,30.8409361364538,10.6108687028957
"20",0.00240584038493446,0.00116144018583043,0.00215696034511366,0.000746640119462419,0.000746640119462419,0.000331840053094409,0.00754936120789779,12054,5,2410.8,24.486301369863,45615,6.31389055923031,33342.5228571429,14.6,13.5,8.40751730959446,45.9218981710331,3.41077607513594,6.80489587139203,27.1379139891251,39.1777509068924,77.7509068923821,8.69565217391304,6.0459492140266,32.043530834341,17.9561200923788,26.6166281755196,55.4849884526559,7.4,8.4,10.2870416459267,5.30944084951054,39.2400862784138,21.8184834909574,7.7567612410818
"21",0.0101481958762887,0.00507409793814433,0.00346327319587629,0.00225515463917526,0.00153028350515464,0.000966494845360825,0.0234375,12416,7.9,1571.64556962025,23.6652236652237,30731,6.25969994826694,24099.59,19.7,18.3,15.0684931506849,58.6623690572119,7.01047542304593,11.0341494845361,65.6187021362354,29.9101412066752,90.5128205128205,16.9448010269576,6.53846153846154,31.6666666666667,34.0809361287177,29.1565090199903,36.7625548512921,9.6,10.2,13.8933634020619,7.20844072164948,57.0634664948454,18.1620489690722,2.45650773195876
