"Hood_ID","Assault","Auto Theft","Break and Enter","Robbery","Theft Over","Drug.Arrests","Total.crime","male.youth","youth","male.above.15","female.above.15","population.2016","lone.parent.families","lone.parent.families.perc","low.income","middle.income","colSums(a[, -1])","avg.income","people.ei","people.ei.per","median.income","no.hholds.bottom.20per","hholds.bottom.20per.per","low.income.pop","low.income.pop.18.to.64","low.income.pop.perc","low.income.pop.perc.18.to.64","non.citizens","non.citizens.perc","immigrants","immigrants.perc","immigrants.recent","immigrants.recent.perc","refugees","refugees.perc","vis.minorities","vis.minorities.perc","renters","renters.perc","houses","houses.perc","unsuitable.housing","unsuitable.housing.perc","hhlds.mjr.rprs","hhlds.mjr.rprs.perc","unaffordable.housing","unaffordale.housing.perc","less.than.high.school","less.than.high.school.perc","high.school.cert","high.school.cert.perc","post.sec.or.above","post.sec.or.above.perc","unemployed","unemployment.rate","unemployed.males","unemployment.rate.males"
"88",102,8,27,29,2,8,176,870,1890,8955,10330,22162,885,0.154585152838428,9015,5945,3320,57465,1145,0.0627397260273973,40786.0849056604,4710,0.22,3605,2585,16.5,16.6,2650,0.121531758770924,7670,0.351673544245759,1240,0.056854653828519,1075,0.0485064524862377,5185,0.237680495072198,7295,0.661978221415608,9525,0.863945578231292,1015,0.0920634920634921,795,0.0721415607985481,4045,0.367560199909132,1535,0.080917237743806,3250,0.171323141802847,14210,0.749077490774908,970,7.1,565,8.3
"89",41,10,22,12,1,7,93,445,955,3775,4245,10070,390,0.134948096885813,3230,2390,2075,71888,465,0.0602331606217617,51095.1285714286,1010,0.1,690,450,6.9,7,525,0.0521609538002981,2335,0.231876861966236,170,0.0168818272095333,205,0.0203574975173784,1600,0.15888778550149,815,0.213630406290957,3795,0.99475753604194,110,0.0287958115183246,240,0.0627450980392157,805,0.210732984293194,960,0.119700748129676,1385,0.172693266832918,5665,0.706359102244389,295,5.1,155,5.5
"90",99,21,33,12,1,14,180,740,1445,5890,6285,14366,700,0.184940554821664,6195,3795,1575,49709,775,0.0669546436285097,36266.3416289593,2790,0.2,1900,1390,13.5,13.7,965,0.0685612788632327,4550,0.323268206039076,345,0.0245115452930728,700,0.0487261589864959,4160,0.295349662761803,2460,0.407960199004975,5055,0.839004149377593,405,0.0671641791044776,320,0.0531120331950207,1960,0.325581395348837,1695,0.14125,2510,0.209166666666667,7790,0.649166666666667,500,5.6,305,7
"91",70,17,16,10,7,29,149,745,1415,4720,4705,11098,765,0.258010118043845,6100,2410,440,33528,740,0.0825892857142857,25237.5714285714,3130,0.28,2260,1480,20.4,19.2,1465,0.132100991884581,5370,0.484220018034265,370,0.0333633904418395,865,0.0779419715264012,4210,0.37979251240415,1750,0.414201183431953,4085,0.966863905325444,505,0.119385342789598,395,0.093491124260355,1300,0.307692307692308,3095,0.328556263269639,2590,0.274946921443737,3730,0.395966029723992,505,8.5,285,9.2
"92",69,7,15,24,2,19,136,750,1530,5955,6260,14133,825,0.206766917293233,7110,3510,1050,41717,980,0.0834397616006811,30000,2990,0.21,1885,1305,13.4,13.3,1900,0.134656272147413,6095,0.432116270825948,560,0.0397022332506203,455,0.0321941555225359,3545,0.251418439716312,2055,0.373297002724796,5275,0.958219800181653,485,0.088021778584392,400,0.072661217075386,1765,0.320909090909091,3390,0.277868852459016,2875,0.235655737704918,5925,0.485655737704918,600,7.2,300,7
"93",230,28,97,41,10,20,426,1925,3940,15725,16405,36625,1880,0.198626518753302,19290,8775,2710,39740,2315,0.0754071661237785,28759.6724683544,9505,0.26,6205,4375,17.1,16.4,4300,0.118800939356265,14395,0.397597016986604,1330,0.0367352575611103,1595,0.0435494880546075,12275,0.33899475283071,7665,0.500980392156863,13455,0.88027477919529,1330,0.0868997059784384,1245,0.0814257684761282,5690,0.372626064178127,7105,0.223709068010076,7335,0.230950881612091,17325,0.545497481108312,1610,7.2,875,7.6
"94",52,16,29,9,3,17,126,645,1320,5655,6840,14349,750,0.215827338129496,6300,3085,1620,54460,675,0.0611967361740707,31778.1726804124,3165,0.24,2200,1405,16.7,15.8,1115,0.0841509433962264,4345,0.3280483201208,315,0.0237825594563986,330,0.0229981183357725,3635,0.274339622641509,3040,0.516129032258065,5340,0.905852417302799,410,0.0696095076400679,470,0.0797285835453774,2095,0.356899488926746,1860,0.163372859025033,2285,0.200702678963549,7230,0.635046113306983,410,5.2,220,5.7
"95",265,19,137,47,25,43,536,1680,3750,13220,14970,30526,895,0.133582089552239,12240,7340,6075,112766,910,0.0355260589498341,43035.8720930233,7035,0.25,5245,4215,18.3,20.1,3085,0.107697678477919,8270,0.288756983240223,975,0.0340432960893855,465,0.0152329162025814,7270,0.253840782122905,9870,0.619585687382298,11430,0.717514124293785,800,0.0502354788069074,1200,0.0753059303420144,6445,0.406496373383791,1585,0.0602890833016356,4270,0.162419170787372,20430,0.777101559528338,1250,6.7,630,6.9
"96",38,5,31,2,5,21,102,525,1075,4460,5310,10968,315,0.109375,3775,2660,2880,165047,345,0.0368392952482648,53431.8601694915,1775,0.16,1350,945,12.5,14,820,0.0752984389348026,2885,0.265165441176471,285,0.0261948529411765,250,0.0227935813274982,1870,0.171796049609554,3235,0.597966728280961,4515,0.83456561922366,235,0.0434782608695652,385,0.0711645101663586,1980,0.368715083798883,490,0.0508035251425609,1690,0.175220321410057,7460,0.773457750129601,425,6.6,200,6.2
"97",21,4,7,3,7,13,55,405,920,5010,6290,12528,390,0.123417721518987,4200,3550,3145,114174,420,0.038870893105044,53795.9166666667,2015,0.16,1600,1240,12.9,15.1,1360,0.110569105691057,3580,0.291293734743694,670,0.0545158665581774,170,0.0135696040868455,2555,0.207723577235772,4315,0.614672364672365,5165,0.736279401282965,380,0.0541310541310541,565,0.0804843304843305,2535,0.361111111111111,460,0.0414414414414414,1820,0.163963963963964,8820,0.794594594594595,455,5.9,210,5.6
