Neighbourhood,Neighbourhood Id,Combined Indicators,Pop - Males,Youth 15-24,Pop 15 - 64 years,Visible Minority Category,   Unemployed,   In Labour Force,With Bachelor Degree or Higher,Average Family Income,Low Income Population,Lone Parent Families,Early Development Instrument (EDI),Social Housing Units,Healthy Food Index
Henry Farm,53,N/A,7685,2330,11765,8525,745,5820,570,65901,4220,460,8.695652174,232,20.79983509
O'Connor-Parkview,54,N/A,9015,2385,12860,6410,860,9340,665,73050,3910,1080,9.756097561,528,37.63418951
Thorncliffe Park,55,N/A,10305,2455,13150,14785,1250,7985,770,49530,8700,700,14.24332344,567,34.53092214
Leaside-Bennington,56,N/A,8020,2175,10990,2180,660,8695,660,158847,930,490,13.29787234,0,40.94224624
Broadview North,57,N/A,5460,1040,8165,2620,715,6520,570,67940,2150,590,22.22222222,154,31.36224154
Old East York,58,N/A,4545,915,6240,2310,340,5175,400,90478,1120,410,9.473684211,182,24.75785326
Danforth-East York,59,N/A,8245,1450,11505,2415,680,9740,535,83989,2340,760,11.5942029,423,24.55916361
Woodbine-Lumsden,60,N/A,3825,675,5610,3025,375,4430,340,74945,1100,410,4.918032787,203,27.87248861
Taylor-Massey,61,N/A,7710,1690,11025,9990,1295,7990,490,51131,5180,750,16.91542289,381,38.18876848
East End-Danforth,62,N/A,10260,2210,15000,5860,935,11970,645,90812,3520,1050,13.57466063,1016,35.29494946
The Beaches,63,N/A,10235,2075,14795,2235,845,12995,700,139757,1760,720,7.851239669,151,31.53076726
Woodbine Corridor,64,N/A,6055,1035,8830,2355,485,6925,410,90338,1770,560,10.25641026,950,29.03610176
Greenwood-Coxwell,65,N/A,7010,1305,10310,5835,795,7815,510,76085,2920,720,5.882352941,830,44.2872901
Danforth,66,N/A,4790,920,6475,4375,335,5195,205,88629,1400,360,7.142857143,356,32.16329245
Playter Estates-Danforth,67,N/A,3860,735,5430,1310,355,4685,250,112244,870,230,3.076923077,194,42.50933102
North Riverdale,68,N/A,5815,1170,8305,2840,430,7280,435,114599,1380,420,12.90322581,98,47.16933058
Blake-Jones,69,N/A,3745,885,5430,2830,410,4210,260,76633,2040,450,17.97752809,751,39.98350079
