"Hood_ID","Assault","Auto.Theft","Break.and.Enter","Robbery","Theft.Over","population.2016","lone.parent.families.perc","avg.income","low.income.pop.perc","non.citizens.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","youth.perc"
"93",0.0292696245733788,0.00357679180887372,0.00969283276450512,0.00679863481228669,0.00109215017064846,36625,19.863,39740,17.1,11.88,3.674,4.355,33.899,50.098,88.027,22.371,23.095,54.55,7.2,10.758
"94",0.0160986828350408,0.0037633284549446,0.00954770367272981,0.0034148721165238,0.000975677747578228,14349,21.583,54460,16.7,8.415,2.378,2.3,27.434,51.613,90.585,16.337,20.07,63.505,5.2,9.199
"95",0.0400314486011924,0.00265347572561095,0.0192950271899364,0.00851732948961541,0.00399659306820415,30526,13.358,112766,18.3,10.77,3.404,1.523,25.384,61.959,71.751,6.029,16.242,77.71,6.7,12.285
"96",0.0145878920495988,0.00173231218088986,0.0106673960612691,0.00237053245805981,0.00227935813274982,10968,10.938,165047,12.5,7.53,2.619,2.279,17.18,59.797,83.457,5.08,17.522,77.346,6.6,9.801
"97",0.00742337164750958,0.000957854406130268,0.00534802043422733,0.000478927203065134,0.000957854406130268,12528,12.342,114174,12.9,11.057,5.452,1.357,20.772,61.467,73.628,4.144,16.396,79.459,5.9,7.344
"98",0.0305405534579171,0.00301104048176648,0.0165368255030349,0.00583090379008746,0.0021029489079004,20923,10.96,207903,10.2,9.314,3.639,1.147,18.147,44.605,69.652,5.806,15.944,78.278,6,10.467
"99",0.00906110283159463,0.00202682563338301,0.00506706408345753,0.00107302533532042,0.000655737704918033,16775,13.682,85340,10.3,8.597,3.789,1.937,22.822,43.443,93.88,7.366,16.546,76.016,6.9,10.134
"100",0.00964711855800965,0.00143860539900144,0.00693915545400694,0.00279258695100279,0.000761614623000762,11817,13.866,89330,12,11.69,5.083,1.65,26.726,61.376,88.38,5.75,14.3,79.9,6.9,10.366
"101",0.00652254938501677,0.00326127469250839,0.0132314573238912,0.000465896384644055,0.00158404770778979,10732,10.893,204521,10.7,9.391,4.385,1.258,16.745,46.869,81.68,7.427,17.277,75.242,5.6,12.672
"102",0.013353115727003,0.00359206621895986,0.0116351710135874,0.00288927065438076,0.00117132594096517,12806,17.451,85099,15.5,15.91,8.994,3.943,28.177,65.932,91.651,8.294,20.641,71.112,7.4,11.791
"103",0.00507279794452863,0.00513867843731471,0.0127808156005007,0.00125172936293563,0.000856446406219119,15179,11.418,169203,7.3,6.98,3.144,1.153,16.942,30.461,89.304,7.702,14.792,77.506,7.5,13.835
"104",0.0185447434081867,0.00107896688920359,0.00792366309258885,0.00266369950772136,0.000842942882190303,29658,16.753,57039,20.8,17.891,8.918,3.557,33.645,74.664,71.371,5.649,16.852,77.481,6.7,8.48
"105",0.00766755665092079,0.00568220716095023,0.00924214417744917,0.00109536523584583,0.00116382556308619,14607,12.192,111730,6.7,4.773,2.37,0.856,21.36,24.284,97.048,7.716,15.477,76.807,6.4,11.33
"106",0.00800556909154194,0.00348068221371389,0.00668290985033067,0.00132265924121128,0.000904977375565611,14365,17.06,65274,15.7,12.439,5.45,2.262,28.787,64.536,98.248,9.321,18.434,72.245,7.1,11.208
"107",0.017963224893918,0.0024988213107025,0.00513908533710514,0.00353606789250354,0.000424328147100424,21210,25.132,39803,18.6,16.051,6.943,4.856,43.154,47.008,98.964,24.951,23.409,51.612,6.8,10.679
"108",0.0338780949708915,0.00519043276986743,0.0107315704566178,0.0091183278389563,0.00154310163428491,14257,23.56,34768,17,19.247,10.028,6.944,45.759,50.523,83.261,20.599,24.929,54.472,8.7,11.714
